ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
IE000TZT8TI0,31/12/2024,USD,0.88730
IE0007ULOZS8,31/12/2024,USD,0.53940
IE0004MFRED4,31/12/2024,USD,0.73480
IE000IDLWOL4,31/12/2024,EUR,0.17040
IE0005E47AH7,31/12/2024,USD,0.24380
IE000V0GDVU7,31/12/2024,USD,0.52010
IE000Y6ZXZ48,31/12/2024,USD,0.49440
IE000PSF3A70,31/12/2024,USD,0.46680
IE00036F4K40,31/12/2024,USD,0.33330
IE0007WJ6B10,31/12/2024,USD,0.79800
IE000JZYIUN0,31/12/2024,USD,0.24520
IE000W6L2AI3,31/12/2024,EUR,1.03680
IE000N9MLVT1,31/12/2024,EUR,1.02640
IE000P4AYI47,31/12/2024,USD,0.59340
IE000HT7E0B1,31/12/2024,EUR,0.71680
IE0008YN0OY8,31/12/2024,USD,0.62500
IE000TL3PL69,31/12/2024,USD,0.55410
IE0003NQ0IY5,31/12/2024,USD,0.46870
IE000LAUZQT6,31/12/2024,USD,0.89400
IE000V04SL39,31/12/2024,USD,0.05730
IE000NS5HRY9,31/12/2024,USD,0.17050
IE000VMAR5O6,31/12/2024,EUR,0.75410
IE000DNSAS54,31/12/2024,USD,0.74690
IE000LOSV2D0,31/12/2024,USD,0.30140
IE000E0V65D8,31/12/2024,USD,0.56490
IE000L2IS494,31/12/2024,USD,0.62120
IE0006WW1TQ4,31/12/2024,USD,0.56370
IE00BYZNF849,31/12/2024,USD,0.20950
IE00BN2BCY94,31/12/2024,USD,0.14670
